Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,relevant,highest
"Dirgur Nemesis",1,56150,Common,DTK,51/264,No,0.01,161.42
"Learn from the Past",1,56272,Uncommon,DTK,60/264,No,0.01,10.96
"Taigam's Strike",1,56180,Common,DTK,81/264,No,0.01,18.60
"Gurmag Drowner",1,56002,Common,DTK,57/264,No,0.01,0.04
"Profaner of the Dead",1,56280,Rare,DTK,70/264,No,0.20,2.33
"Qarsi Deceiver",1,55946,Uncommon,DTK,71/264,No,0.01,0.16
"Illusory Gains",1,56350,Rare,DTK,59/264,No,0.01,31.81
"Glint",1,56232,Common,DTK,55/264,No,0.01,0.05
"Reduce in Stature",1,56418,Common,DTK,72/264,No,0.01,3.98
"Ojutai Interceptor",1,56014,Common,DTK,66/264,No,0.01,8.53
"Foul Renewal",1,55956,Rare,DTK,101/264,No,0.02,0.14
"Dragonlord's Prerogative",1,56398,Rare,DTK,52/264,No,0.03,17.28
"Arashin Foremost",1,56096,Rare,DTK,3/264,No,0.05,2.73
"Battle Mastery",1,56268,Uncommon,DTK,7/264,No,0.01,72.60
"Aven Sunstriker",1,56008,Uncommon,DTK,5/264,No,0.01,2.70
"Scion of Ugin",1,56342,Uncommon,DTK,1/264,No,0.01,6.65
"Aven Tactician",1,56060,Common,DTK,6/264,No,0.01,5.02
"Anafenza, Kin-Tree Spirit",1,55978,Rare,DTK,2/264,No,2.42,18.60
"Contradict",1,56248,Common,DTK,49/264,No,0.01,0.01
"Blessed Reincarnation",1,56090,Rare,DTK,47/264,No,0.01,0.02
"Belltoll Dragon",1,55982,Uncommon,DTK,46/264,No,0.01,44.56
"Anticipate",1,56388,Common,DTK,45/264,No,0.01,0.04
"Strongarm Monk",1,56348,Uncommon,DTK,39/264,No,0.01,14.44
"Resupply",1,56116,Common,DTK,32/264,No,0.01,0.01
"Pacifism",1,56324,Common,DTK,29/264,No,0.01,0.22
"Great Teacher's Decree",1,55954,Uncommon,DTK,21/264,No,0.01,18.40
"Gleam of Authority",1,56362,Rare,DTK,19/264,No,0.02,0.82
"Fate Forgotten",1,56042,Common,DTK,17/264,No,0.01,45.31
"Dromoka Captain",1,56298,Uncommon,DTK,12/264,No,0.01,8.70
"Sandcrafter Mage",1,56086,Common,DTK,33/264,No,0.01,19.53
"Sandstorm Charger",1,56154,Common,DTK,34/264,No,0.01,0.09
"Student of Ojutai",1,55922,Common,DTK,40/264,No,0.01,8.53
"Sunscorch Regent",1,56196,Rare,DTK,41/264,No,0.01,1.22
"Misthoof Kirin",1,56390,Common,DTK,25/264,No,0.01,0.18
"Ojutai Exemplars",1,56110,Mythic Rare,DTK,27/264,No,0.65,8.53
"Scale Blessing",1,56200,Uncommon,DTK,35/264,No,0.01,0.35
"Shieldhide Dragon",1,55910,Uncommon,DTK,37/264,No,0.01,44.56
"Territorial Roc",1,56144,Common,DTK,43/264,No,0.01,0.02
"Ancient Carp",1,56304,Common,DTK,44/264,No,0.01,6.12
"Swift Warkite",1,56372,Uncommon,DTK,233/264,No,0.01,0.02
"Ancestral Statue",1,56316,Common,DTK,234/264,No,0.01,48.25
"Atarka Monument",1,55986,Uncommon,DTK,235/264,No,0.01,17.28
"Custodian of the Trove",1,56238,Common,DTK,236/264,No,0.01,0.04
"Dragonloft Idol",1,56080,Uncommon,DTK,237/264,No,0.01,0.02
"Dromoka Monument",1,56028,Uncommon,DTK,238/264,No,0.01,8.70
"Gate Smasher",1,56380,Uncommon,DTK,239/264,No,0.01,6.95
"Kolaghan Monument",1,55938,Uncommon,DTK,241/264,No,0.01,10.67
"Ojutai Monument",1,55936,Uncommon,DTK,242/264,No,0.01,8.53
"Silumgar Monument",1,55952,Uncommon,DTK,243/264,No,0.01,7.23
"Tapestry of the Ages",1,55970,Uncommon,DTK,246/264,No,0.01,0.06
